Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
fc2d383d21b48085497b3fbcf645e2a0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces	0.885247324913634
3f420e3044bea17fb92ed268e4098e20	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.9346826396272225
4c504d60055b3c38fb8c12fd496f6069	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.7136110849825902
576d865b69a485d0022c429297ad8273	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Thermomonas; s__	0.7414863631315919
c67faf6bd503bdf4706af9ed52c18d92	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9920079752263077
cbaaa6f3097f403fd34de840dde78346	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae	0.9995469460914688
673f1f347797712d604984ff058141e2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__	0.9222528777147597
c9ac38b0fe284f2acecc51695f001cd9	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinosynnemataceae	0.9995485754312416
29e1a8ecc6d0694e334d1ec935160bf1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__	0.89858261861671
5aebbdb20194af3ef5f461c120bffbab	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__; g__; s__	0.7026435309384681
6e8002747941660b4545f8e517f108d7	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__	0.9750561490522103
72dd3fc2820277f92974d2c58d999a22	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__	0.9985542763198827
1f1eb78cdc5c6c2275fbd13c0ee7472d	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__	0.9758779509212344
1a9941b6f4e8684206df1369244feec3	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9999961972516453
675061b2d625ba5a1c48c7763d0838a8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9276430965786282
73e1cc04d8bad73c13afdeea9268f53f	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	0.9999748901839584
480b371bd3fd8e3d07e710ca8f1a06a2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	0.9998806636893238
35b4d0e332ba0739b158bbb31f6fc3fd	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	0.9999861887760789
009cbdab50cb5e00e6ef093482bdcdae	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__	0.9988783670711816
2bc4545e8ba8a93ce7f824984dc47740	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium	0.988579437677306
838ff77fc23913a3dae9f4ccef20045e	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__	0.8928002556473827
177e30fafa76a0d21870f5dd89055682	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	0.9999877412978877
00678eb6f00c9237954dd38da0778ade	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Kribbella; s__	0.9999948077607507
a11af217323fff0db02cac25a66bfa22	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.8985667061235372
f2d0d4cd494cebf5ca925efe53d8914f	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter; s__gossypii	0.7088450073661182
fa5b8fb0a8b55f14d5d283faf0715427	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.9999471336981732
b7e584c148c3c339a6f7fd7c81631405	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9999856571793484
e431cefeb95205e02324c61bd06ced3a	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__	0.9987637736922168
f7348959c91d0c877d82b8135f7c7532	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__	0.9999269219942106
7d92430ce0199e120d29c4b4a38b3f09	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9999938806118741
c6af11d7d0d0e28fc4ccef48492fbf54	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__	0.9991690252061419
dbba5677ec936b7da3b6c069362383e3	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__	0.8607171155831795
19b86ef3fae13cc6bdca614f07b5bfd2	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__	0.9999933314612496
65fee886812686467d4b3289814a01ea	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.8897680672164701
